Date,Store_ID,Product_ID,Predicted_Quantity
2026-01-01,BST-001,PROD-001,19.238955683903892
2026-01-01,BST-001,PROD-002,23.943586929182118
2026-01-01,BST-001,PROD-003,12.783169351671097
2026-01-01,BST-001,PROD-004,16.493997045409845
2026-01-01,BST-001,PROD-005,23.638543909680713
2026-01-01,BST-001,PROD-006,20.72322737788071
2026-01-01,BST-001,PROD-007,14.24786030930481
2026-01-01,BST-001,PROD-008,13.241975615562957
2026-01-01,BST-001,PROD-009,15.504401192094921
2026-01-01,BST-001,PROD-010,5.032018704813111
2026-01-01,BST-001,PROD-011,6.650694952762039
2026-01-01,BST-001,PROD-012,7.699904629992639
2026-01-01,BST-001,PROD-013,8.32979143945935
2026-01-01,BST-001,PROD-014,10.797318318452616
2026-01-01,BST-001,PROD-015,5.093518128798734
2026-01-01,BST-001,PROD-016,4.011242747864825
2026-01-01,BST-001,PROD-017,1.04915047529861
2026-01-01,BST-001,PROD-018,2.4245273091220527
2026-01-01,BST-001,PROD-019,25.87186832141875
2026-01-01,BST-001,PROD-020,33.00050433733805
2026-01-01,BST-001,PROD-021,24.2426839519036
2026-01-01,BST-001,PROD-022,18.503783151968047
2026-01-01,BST-001,PROD-023,15.174262526327759
2026-01-01,BST-001,PROD-024,13.06147448053155
2026-01-01,BST-001,PROD-025,7.418506396637967
2026-01-01,BST-001,PROD-026,6.324264332805029
2026-01-01,BST-001,PROD-027,5.0681568596665985
2026-01-01,BST-001,PROD-028,5.1608865612571755
2026-01-01,BST-001,PROD-029,3.986449442436699
2026-01-01,BST-001,PROD-030,5.058902350436213
2026-01-01,BST-001,PROD-031,1.0221665222331078
2026-01-01,BST-001,PROD-032,1.0125351651646344
2026-01-01,BST-001,PROD-033,1.011337017618813
2026-01-01,BST-001,PROD-034,1.0116550882519788
2026-01-01,BST-001,PROD-035,0.0023221528441388192
2026-01-01,BST-002,PROD-001,38.29538038461167
2026-01-01,BST-002,PROD-002,52.66907383619946
2026-01-01,BST-002,PROD-003,29.066968748447838
2026-01-01,BST-002,PROD-004,14.461425838006878
2026-01-01,BST-002,PROD-005,20.468731277723197
2026-01-01,BST-002,PROD-006,14.799227625322608
2026-01-01,BST-002,PROD-007,14.789424087803242
2026-01-01,BST-002,PROD-008,11.578765598723608
2026-01-01,BST-002,PROD-009,12.090610970009784
2026-01-01,BST-002,PROD-010,4.633264813004336
2026-01-01,BST-002,PROD-011,5.2974724283771595
2026-01-01,BST-002,PROD-012,7.025583829940027
2026-01-01,BST-002,PROD-013,6.661433536172907
2026-01-01,BST-002,PROD-014,8.856629701304659
2026-01-01,BST-002,PROD-015,5.064072651833732
2026-01-01,BST-002,PROD-016,3.4908657203239755
2026-01-01,BST-002,PROD-017,1.0549293237398412
2026-01-01,BST-002,PROD-018,2.2602952881670384
2026-01-01,BST-002,PROD-019,49.56196855221901
2026-01-01,BST-002,PROD-020,59.410936537604506
2026-01-01,BST-002,PROD-021,45.663218524098696
2026-01-01,BST-002,PROD-022,15.616540867040237
2026-01-01,BST-002,PROD-023,14.328329247973594
2026-01-01,BST-002,PROD-024,11.010415744095951
2026-01-01,BST-002,PROD-025,7.418549699861667
2026-01-01,BST-002,PROD-026,5.9690001886280095
2026-01-01,BST-002,PROD-027,4.8853597525965595
2026-01-01,BST-002,PROD-028,4.6295010821007905
2026-01-01,BST-002,PROD-029,3.641541990154148
2026-01-01,BST-002,PROD-030,4.278531737755299
2026-01-01,BST-002,PROD-031,1.0214760834539682
2026-01-01,BST-002,PROD-032,1.011740881130415
2026-01-01,BST-002,PROD-033,1.0109045440077895
2026-01-01,BST-002,PROD-034,1.011303624141122
2026-01-01,BST-002,PROD-035,0.0024409184787049206
2026-01-01,BST-003,PROD-001,33.8696510268375
2026-01-01,BST-003,PROD-002,38.058976821958375
2026-01-01,BST-003,PROD-003,22.03450182935821
2026-01-01,BST-003,PROD-004,11.522903889363551
