Product_ID,City,From_Store,To_Store,Transfer_Qty
PROD-001,Delhi NCR,BST-009,BST-008,41
PROD-001,Delhi NCR,BST-009,BST-011,33
PROD-001,Delhi NCR,BST-009,BST-014,33
PROD-001,Delhi NCR,BST-009,BST-025,24
PROD-001,Delhi NCR,BST-009,BST-019,22
PROD-001,Delhi NCR,BST-009,BST-013,17
PROD-001,Delhi NCR,BST-009,BST-018,17
PROD-001,Delhi NCR,BST-009,BST-010,17
PROD-001,Delhi NCR,BST-009,BST-004,15
PROD-001,Delhi NCR,BST-009,BST-012,15
PROD-001,Delhi NCR,BST-009,BST-003,15
PROD-001,Delhi NCR,BST-009,BST-021,14
PROD-001,Delhi NCR,BST-009,BST-022,9
PROD-001,Delhi NCR,BST-009,BST-024,6
PROD-001,Delhi NCR,BST-009,BST-017,5
PROD-002,Delhi NCR,BST-005,BST-013,39
PROD-002,Delhi NCR,BST-005,BST-022,36
PROD-002,Delhi NCR,BST-005,BST-017,33
PROD-002,Delhi NCR,BST-005,BST-010,32
PROD-002,Delhi NCR,BST-005,BST-024,28
PROD-002,Delhi NCR,BST-005,BST-008,26
PROD-002,Delhi NCR,BST-005,BST-018,26
PROD-002,Delhi NCR,BST-005,BST-004,25
PROD-002,Delhi NCR,BST-005,BST-001,24
PROD-002,Delhi NCR,BST-005,BST-014,24
PROD-002,Delhi NCR,BST-005,BST-003,22
PROD-002,Delhi NCR,BST-005,BST-025,22
PROD-002,Delhi NCR,BST-005,BST-021,14
PROD-002,Delhi NCR,BST-005,BST-019,11
PROD-002,Delhi NCR,BST-005,BST-012,2
PROD-002,Delhi NCR,BST-005,BST-011,2
PROD-003,Delhi NCR,BST-010,BST-003,664
PROD-003,Delhi NCR,BST-010,BST-008,174
PROD-003,Delhi NCR,BST-010,BST-019,22
PROD-003,Delhi NCR,BST-010,BST-014,21
PROD-003,Delhi NCR,BST-010,BST-002,19
PROD-003,Delhi NCR,BST-010,BST-022,19
PROD-003,Delhi NCR,BST-010,BST-013,18
PROD-003,Delhi NCR,BST-010,BST-004,17
PROD-003,Delhi NCR,BST-010,BST-011,16
PROD-003,Delhi NCR,BST-010,BST-015,15
PROD-003,Delhi NCR,BST-010,BST-025,14
PROD-003,Delhi NCR,BST-010,BST-018,14
PROD-003,Delhi NCR,BST-010,BST-017,13
PROD-003,Delhi NCR,BST-010,BST-024,12
PROD-003,Delhi NCR,BST-010,BST-007,12
PROD-003,Delhi NCR,BST-010,BST-016,5
PROD-003,Delhi NCR,BST-010,BST-021,1
PROD-004,Delhi NCR,BST-008,BST-005,155
PROD-004,Delhi NCR,BST-008,BST-002,134
PROD-004,Delhi NCR,BST-008,BST-012,30
PROD-004,Delhi NCR,BST-008,BST-015,29
PROD-004,Delhi NCR,BST-008,BST-023,25
PROD-004,Delhi NCR,BST-008,BST-020,25
PROD-004,Delhi NCR,BST-008,BST-014,25
PROD-004,Delhi NCR,BST-008,BST-009,22
PROD-004,Delhi NCR,BST-008,BST-001,21
PROD-004,Delhi NCR,BST-008,BST-017,21
PROD-004,Delhi NCR,BST-008,BST-010,18
PROD-004,Delhi NCR,BST-008,BST-024,18
PROD-004,Delhi NCR,BST-008,BST-016,18
PROD-004,Delhi NCR,BST-008,BST-025,17
PROD-004,Delhi NCR,BST-008,BST-011,16
PROD-004,Delhi NCR,BST-008,BST-006,14
PROD-004,Delhi NCR,BST-008,BST-004,6
PROD-005,Delhi NCR,BST-001,BST-012,38
PROD-005,Delhi NCR,BST-001,BST-015,38
PROD-005,Delhi NCR,BST-001,BST-020,32
PROD-005,Delhi NCR,BST-001,BST-023,32
PROD-005,Delhi NCR,BST-001,BST-009,28
PROD-005,Delhi NCR,BST-001,BST-014,25
PROD-005,Delhi NCR,BST-001,BST-003,24
