Product_ID,recent_avg_price,prior_avg_price,pct_change,buy_ahead_flag
PROD-001,40.0,40.0,0.0,False
PROD-002,25.0,25.0,0.0,False
PROD-003,64.0,64.0,0.0,False
PROD-004,88.0,88.0,0.0,False
PROD-005,44.0,44.0,0.0,False
PROD-006,32.0,32.0,0.0,False
PROD-007,35.0,35.0,0.0,False
PROD-008,50.0,50.0,0.0,False
PROD-009,38.0,38.0,0.0,False
PROD-010,130.0,130.0,0.0,False
PROD-011,115.0,115.0,0.0,False
PROD-012,140.0,140.0,0.0,False
PROD-013,35.0,35.0,0.0,False
PROD-014,25.0,25.0,0.0,False
PROD-015,36.0,36.0,0.0,False
PROD-016,50.0,50.0,0.0,False
PROD-017,220.0,220.0,0.0,False
PROD-018,200.0,200.0,0.0,False
PROD-019,32.0,32.0,0.0,False
PROD-020,18.0,18.0,0.0,False
PROD-021,28.0,28.0,0.0,False
PROD-022,38.0,38.0,0.0,False
PROD-023,35.0,35.0,0.0,False
PROD-024,35.0,35.0,0.0,False
PROD-025,90.0,90.0,0.0,False
PROD-026,120.0,120.0,0.0,False
PROD-027,72.0,72.0,0.0,False
PROD-028,100.0,100.0,0.0,False
PROD-029,78.0,78.0,0.0,False
PROD-030,28.0,28.0,0.0,False
PROD-031,40.0,40.0,0.0,False
PROD-032,25.0,25.0,0.0,False
PROD-033,15.0,15.0,0.0,False
PROD-034,160.0,160.0,0.0,False
